Timestamp	How old are you? Please write a number	What is your gender?	How often do you play video games (on average)?	If you are a student, are your studies related to videogames?	If you have a job, do you work in the videogame industry?	I felt my perception of time change during the experience	I felt like everything slowed down	I felt my sense of self become somehow smaller	I experienced a sense of oneness with all things	I felt humbled by the experience	I felt closely connected to humanity	I experienced something greater than myself	I had chills or goosebumps	I struggled to take in all that I was experiencing at once	I felt challenged to mentally process what I was experiencing	I think the experience had a positive impact on me	I felt fear or discomfort	I had a sense of peace of mind	I felt admiration towards the game developers	After the experience, I wanted to be a better person	Are there any other comments you wish to add about your feelings during or after the experience?	What is the title of the game?	What genre does the game belong to? Choose all that apply	How would you rate the graphics?	How would you describe the graphics of the game? Choose all that apply.	How would you rate the story (if not applicable skip this question)?	How would you describe the story of the game? Choose all that apply. (If the game did not have a story, select "not applicable")	How would you rate the soundtrack?	How would you describe the soundtrack of the game? Choose all that apply	How did you like playing the main character (if applicable)?	Which of these items apply to your experience with the main character? You can select as many items as you want. (If the game did not involve controlling a character, select "not applicable")	In what place(s) was the game set? Choose all the locations that you can remember from the game	Which of these characteristics apply to the game? Choose all that apply	When the experience occurred, were you playing using a virtual reality headset?	How would you describe the VR experience (if you replied "no" to the previous question, select "not applicable")? Choose all that apply	Is there anything else you would like to tell me about the game that was not covered by the previous questions?
4/10/2022 16:01:38	15	Female	1-2 hours per week	No	No	4	4	4	4	5	3	3	4	2	2	5	1	5	5	4	My eyes widened for a few seconds, trying to absorb all of what I saw on my screen	Horizon Forbidden West	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), action-adventure (eg. metroidvania)	5	visually stunning, realistic	4	captivating, rich in subplots, includes plot-twists, complex	5	on spot, perfect for the game, chilling, captured my attention while playing, pleasant	4	I identified myself with the main character, to a certain extent, The character was simple, I was able to shape, at least partially, the main character's personality	desert, sky, sea, ocean, post-apocalyptic world, woods, forests	the game was addictive, the game kept me focused and absorbed, the game was fast-paced and exciting	No	not applicable	I was just amazed by how great Horizon Forbidden West looked on my PS4 Slim and on my old-ish TV (which is somewhat older, duller, and smaller compared to other gamers' TVs nowadays, I think?).
4/10/2022 16:55:03	24	Female	1-2 hours per week	No	No	2	5	5	4	4	5	4	4	3	3	4	4	4	5	3		Disco Elysium	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), puzzle (eg. hidden objects, reveal the picture, tile matching, traditional puzzle...), adventure (eg. text or graphic adventures, visual novels...)	3	visually stunning	5	complex, includes plot-twists, rich in subplots	5	on spot, perfect for the game, pleasant, chilling	3	I felt like my choices could affect the course of the game, The character was customizable, The character was simple	modern city, fantasy world, post-apocalyptic world	the game was slow-paced and relaxing, the game was addictive	No	not applicable	
4/10/2022 17:45:19	38	Prefer not to say	2-6 hours per week	No	No	5	4	4	3	3	3	4	4	4	2	3	2	2	4	2		Hellblade Senua's Sacrifice	action (eg. platform, survival, stealth, shooter, fighting...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	4	disturbing, realistic	4	captivating, includes plot-twists	5	captured my attention while playing, chilling, on spot, perfect for the game	5	I felt represented by the main character	fantasy world, medieval towns	the game kept me focused and absorbed, the game was challenging at the right point	No	not applicable	
4/10/2022 17:53:37	40	Male	more than 6 hours per week	No	No	1	1	2	3	4	5	5	2	3	4	5	3	3	5	4	Just identifying the scene. It was the one where Mama is revealed to have a spectral baby. Spectral beings are the main de-facto enemy of the game.	Death Stranding	simulation (eg. life simulation, vehicle simulation...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), action (eg. platform, survival, stealth, shooter, fighting...)	5	visually stunning	5	complex, includes plot-twists, rich in subplots, captivating	5	on spot, perfect for the game, captured my attention while playing	5	I felt like my choices could affect the course of the game, I felt represented by the main character, I identified myself with the main character, to a certain extent	post-apocalyptic world	the game was slow-paced and relaxing, the game was addictive, the game kept me focused and absorbed, the game was fast-paced and exciting	No	not applicable	
4/10/2022 18:29:44	28	Male	more than 6 hours per week	No	No	4	2	4	3	4	4	3	4	4	4	5	4	3	5	4		Nier Automata	action (eg. platform, survival, stealth, shooter, fighting...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	4	realistic, visually stunning	5	includes plot-twists, captivating, complex, rich in subplots	5	pleasant, on spot, perfect for the game, chilling, captured my attention while playing	4	I felt like my choices could affect the course of the game, The character was simple, I identified myself with the main character, to a certain extent	space, spacecraft, post-apocalyptic world, sky, woods, forests, desert	the game was fast-paced and exciting, the game was challenging at the right point, the game kept me focused and absorbed, the game was slow-paced and relaxing	No	not applicable	
4/10/2022 19:45:19	22	Prefer not to say	2-6 hours per week	No	No	4	4	4	3	5	4	4	4	2	3	5	1	5	5	3		GRIS	adventure (eg. text or graphic adventures, visual novels...), Indie game exploring grief through music	5	visually stunning, Fascinating	5	captivating, complex, rich in subplots	5	captured my attention while playing, on spot, perfect for the game, chilling, pleasant	5	I identified myself with the main character, to a certain extent, I felt represented by the main character	desert, post-apocalyptic world, woods, forests, sky	the game kept me focused and absorbed, the game was very easy, the game was slow-paced and relaxing, the game was addictive	No	not applicable	
4/10/2022 20:29:36	38	Male	1-2 hours per week	No	No	3	3	3	3	3	3	3	5	3	3	4	3	4	4	3		Red Dead Redemption 2	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	5	visually stunning, realistic	5	includes plot-twists, rich in subplots, complex	5	captured my attention while playing, on spot, perfect for the game, pleasant	5	I felt like my choices could affect the course of the game, I was able to shape, at least partially, the main character's personality, I identified myself with the main character, to a certain extent, I felt represented by the main character	woods, forests, desert, old west	the game was challenging at the right point, the game was slow-paced and relaxing, the game was fast-paced and exciting	No	not applicable	
4/10/2022 20:59:34	24	Male	more than 6 hours per week	No	No	3	1	4	4	3	2	5	4	3	4	1	3	2	4	1		Elite: Dangerous	action-adventure (eg. metroidvania), simulation (eg. life simulation, vehicle simulation...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	5	visually stunning, realistic		not applicable	3	chilling		Not applicable	space, spacecraft	the game was slow-paced and relaxing	No	not applicable	The game felt exciting at first, and opening the galaxy map of the 1:1 scale simulated milky way galaxy blew my mind. I already knew things get to the incomprehensible scale for us quite fast but it still amazed me 
4/10/2022 21:07:16	25	Male	more than 6 hours per week	No	No	2	3	2	2	3	2	3	3	2	2	3	2	3	4	3		Hollow Knight	action-adventure (eg. metroidvania)	5	visually stunning, hand drawn	5	rich in subplots, confusing, includes plot-twists, captivating, complex	5	captured my attention while playing, on spot, perfect for the game, pleasant, chilling	4	The character was simple, I felt like my choices could affect the course of the game	post-apocalyptic world, medieval towns, fantasy world, woods, forests, a bug world	the game was challenging at the right point, the game was fast-paced and exciting, the game was slow-paced and relaxing, the game was addictive, there were very fast paced sections, but usually one could explore as much as one would want	No	not applicable	go play hollow knight if you haven't already, easily in top 10 games I've played in my life
4/11/2022 1:41:16	35	Male	2-6 hours per week	No	No	4	3	3	1	1	1	1	4	1	3	5	1	3	4	1		Super Mario Odyssey	adventure (eg. text or graphic adventures, visual novels...), action (eg. platform, survival, stealth, shooter, fighting...)	4	visually stunning	3	simple and easy to follow	4	pleasant, on spot, perfect for the game	5	It's Mario!	sky, woods, forests, desert, fantasy world, sea, ocean, space, spacecraft, modern city	the game was fast-paced and exciting, the game was challenging at the right point, the game kept me focused and absorbed, the game was addictive	No	not applicable	
4/11/2022 4:10:48	17	Non-binary	2-6 hours per week	No	No	2	4	2	3	2	4	4	5	3	2	5	2	3	5	3		Hollow Knight	action-adventure (eg. metroidvania), action (eg. platform, survival, stealth, shooter, fighting...), adventure (eg. text or graphic adventures, visual novels...)	5	visually stunning	4	complex, includes plot-twists, confusing, captivating	5	on spot, perfect for the game, pleasant, captured my attention while playing	5	I felt like my choices could affect the course of the game, The character was simple, I was able to shape, at least partially, the main character's personality	post-apocalyptic world, woods, forests, fantasy world	the game was challenging at the right point, the game kept me focused and absorbed, the game was addictive, the game was challenging, sometimes too much	No	not applicable	
4/11/2022 8:01:07	20	Male	more than 6 hours per week	Yes	No	4	3	3	5	4	5	5	1	2	3	5	3	5	1	4	For "I felt admiration towards the game developers" I strongly disagreed since I was immersed in the game to the point where I wasn't thinking about the developers at that moment. I do admire them, but I wasn't feeling that in that moment.	Disco Elysium	adventure (eg. text or graphic adventures, visual novels...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	4	visually stunning	5	captivating, rich in subplots, includes plot-twists, complex	4	pleasant, on spot, perfect for the game	5	I identified myself with the main character, to a certain extent, I was able to shape, at least partially, the main character's personality, I felt like my choices could affect the course of the game	fantasy world, modern city	the game kept me focused and absorbed	No	not applicable	
4/11/2022 11:19:56	30	Male	less than 1 hour per week	No	No	5	2	1	4	5	2	3	5	4	5	3	4	2	5	5		StarCraft II	strategy (eg. turn-based strategy, tower defense, wargame, multiplayer online battle arena...)	5	visually stunning	5	complex, includes plot-twists, rich in subplots, captivating	5	on spot, perfect for the game, pleasant, captured my attention while playing	5	I was able to shape, at least partially, the main character's personality, I identified myself with the main character, to a certain extent	space, spacecraft	the game was challenging at the right point, the game was challenging, sometimes too much	No	not applicable	
4/11/2022 12:22:54	24	Male	more than 6 hours per week	No	No	4	3	2	1	2	2	2	2	2	2	4	2	3	5	2		Disco Elysium	adventure (eg. text or graphic adventures, visual novels...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	4	visually stunning	5	captivating, complex, rich in subplots	4	captured my attention while playing, on spot, perfect for the game, moody	5	I felt like my choices could affect the course of the game, I was able to shape, at least partially, the main character's personality	vaguely steampunk	the game kept me focused and absorbed, the game was fast-paced and exciting	No	not applicable	
4/12/2022 9:42:14	24	Male	more than 6 hours per week	No	No	5	4	3	4	1	2	2	5	4	3	4	2	1	2	2		CS:GO	action (eg. platform, survival, stealth, shooter, fighting...)	2	simple		not applicable	2	irrelevant, left me indifferent		Not applicable	desert, fantasy world, medieval towns, modern city, woods, forests	the game was challenging, sometimes too much, the game was addictive, the game was fast-paced and exciting	No	not applicable	
4/12/2022 10:10:30	25	Female	2-6 hours per week	No	No	3	2	2	1	3	1	4	4	2	1	4	1	4	5	1		Legend of Zelda: Breath of the Wild	action-adventure (eg. metroidvania)	5	realistic	4	simple and easy to follow, captivating	5	on spot, perfect for the game, captured my attention while playing	5	The character was simple	fantasy world, woods, forests, medieval towns, sea, ocean, post-apocalyptic world, desert	the game was addictive, the game was challenging at the right point, the game was slow-paced and relaxing, the game kept me focused and absorbed	No	not applicable	
4/12/2022 13:32:07	24	Male	more than 6 hours per week	No	No	5	3	1	1	5	5	3	5	4	5	5	3	3	5	1		Hellblade Senua's Sacrifice	action-adventure (eg. metroidvania)	5	realistic	5	simple and easy to follow	5	on spot, perfect for the game	4	I identified myself with the main character, to a certain extent	fantasy world	the game was challenging, sometimes too much	No	not applicable	
4/12/2022 13:43:41	26	Male	more than 6 hours per week	No	No	3	2	4	1	3	4	3	3	2	2	4	2	4	4	1		Civilization VI	strategy (eg. turn-based strategy, tower defense, wargame, multiplayer online battle arena...)	5	visually stunning		not applicable	4	chilling		Not applicable	world	the game was slow-paced and relaxing, the game was challenging at the right point	No	not applicable	
4/12/2022 14:14:28	46	Prefer not to say	less than 1 hour per week	No	No	4	1	1	1	1	1	1	1	5	5	1	5	1	1	1		Dont remember the title	puzzle (eg. hidden objects, reveal the picture, tile matching, traditional puzzle...), simulation (eg. life simulation, vehicle simulation...), strategy (eg. turn-based strategy, tower defense, wargame, multiplayer online battle arena...)	4	disturbing, Way too dark, frightening		not applicable	1	annoying	1	The character was customizable, I could choose the character out of a pre-made set, The character was highly sexualised. You were playing a soldier but the character had to look like a prostitute. It was discrimination.	fantasy world, woods, forests	the game was challenging, sometimes too much, You need to be a pro and full time playing to have a chance.	No	not applicable	
4/12/2022 15:49:52	18	Male	more than 6 hours per week	No	No	4	3	4	4	3	2	4	4	2	2	5	1	5	2	3		Minecraft	adventure (eg. text or graphic adventures, visual novels...), action (eg. platform, survival, stealth, shooter, fighting...), Sandbox-box game	3	simple		not applicable	3	irrelevant, left me indifferent		The character was customizable, The character was simple, I felt like my choices could affect the course of the game, I felt represented by the main character, I identified myself with the main character, to a certain extent, The main character is me by myself. So I choose everything the character does. 	fantasy world, sea, ocean, woods, forests, desert, Everything you build, so actually everything. 	the game was fast-paced and exciting, the game was addictive, the game was slow-paced and relaxing, the game kept me focused and absorbed, the game was challenging at the right point	No	not applicable	Some people have an awe experience in building stuff, e.g. me, some play it competitive and some make some Rp. Everybody can choose how to play it. 
4/12/2022 23:44:01	16	Male	less than 1 hour per week	No	No	4	2	3	2	2	1	1	1	4	3	3	3	4	3	1		Crusaders Kings II	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	2	simple	4	captivating	3	immersive	4	I could NOT associate myself with the main character, and therefore felt free to do whatever I want	medieval Europe	the game was slow-paced and relaxing, the game kept me focused and absorbed	No	not applicable	I said it’s a roleplay because that’s how I play the game. Most people would say it’s strategy 
4/13/2022 9:58:42	24	Male	more than 6 hours per week	No	No	5	2	5	3	4	3	5	5	4	3	3	5	3	5	2		Pathologic	simulation (eg. life simulation, vehicle simulation...), adventure (eg. text or graphic adventures, visual novels...), Horror	3	simple, disturbing	5	boring, complex, confusing	5	on spot, perfect for the game	5	I felt like my choices could affect the course of the game	desert, modern city	the game was challenging, sometimes too much, the game was fast-paced and exciting	No	not applicable	
4/13/2022 10:00:35	24	Male	more than 6 hours per week	No	No	4	1	1	1	2	1	3	3	1	1	5	1	5	5	1		Elden Ring	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), action (eg. platform, survival, stealth, shooter, fighting...)	4	realistic, visually stunning	4	rich in subplots, complex, confusing	5	captured my attention while playing, pleasant, on spot, perfect for the game	5	The character was customizable, The character was simple	medieval towns, fantasy world, woods, forests	the game was addictive, the game was challenging at the right point	No	not applicable	
4/13/2022 12:22:28	23	Male	more than 6 hours per week	No	No	2	4	2	2	2	3	2	2	4	3	3	1	4	4	2		Elden Ring	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), action (eg. platform, survival, stealth, shooter, fighting...)	5	visually stunning, realistic	3	includes plot-twists, rich in subplots, complex, confusing	4	on spot, perfect for the game	4	I was able to shape, at least partially, the main character's personality, The character was customizable	fantasy world, woods, forests	the game was slow-paced and relaxing, the game was fast-paced and exciting, the game was challenging at the right point, the game was addictive, the game kept me focused and absorbed, the game was challenging, sometimes too much	No	not applicable	
4/13/2022 20:42:17	25	Male	2-6 hours per week	No	No	5	3	3	3	5	4	5	5	5	4	5	2	3	5	5		Red Dead Redemption 2, Cyberpunk 2077, Humankind	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), adventure (eg. text or graphic adventures, visual novels...), strategy (eg. turn-based strategy, tower defense, wargame, multiplayer online battle arena...)	5	Story telling through interactive experience.  	5	complex, captivating, weak, contains plot holes, rich in subplots	5	on spot, perfect for the game	5	I was able to shape, at least partially, the main character's personality	modern city, post-apocalyptic world, woods, forests, fantasy world	the game was slow-paced and relaxing, the game was challenging at the right point, the game kept me focused and absorbed	No	not applicable	
4/13/2022 20:51:00	21	Female	1-2 hours per week	No	No	1	1	1	1	3	1	2	2	4	3	2	5	1	5	1		Minecraft	adventure (eg. text or graphic adventures, visual novels...), Open world 	4	simple		not applicable	5	chilling, pleasant		Not applicable	sea, ocean, desert, woods, forests	the game was slow-paced and relaxing, the game kept me focused and absorbed, the game was fast-paced and exciting, the game was challenging at the right point, the game was addictive, The experience depends a lot on how you play the game 	No	not applicable	
4/13/2022 21:29:33	22	Male	more than 6 hours per week	Yes	No	2	5	5	5	4	2	4	5	2	2	4	1	4	5	1		Legend of Zelda: Breath of the Wild	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), puzzle (eg. hidden objects, reveal the picture, tile matching, traditional puzzle...)	5	Cartoon-like	2	simple and easy to follow	5	captured my attention while playing, pleasant, on spot, perfect for the game		I felt represented by the main character, I identified myself with the main character, to a certain extent, The character was simple	fantasy world	the game was slow-paced and relaxing, the game kept me focused and absorbed, the game was challenging at the right point, the game was addictive	No	not applicable	
4/13/2022 21:38:30	21	Female	2-6 hours per week	No	No	5	3	2	2	1	2	2	1	1	4	4	1	4	5	3		Hades	action (eg. platform, survival, stealth, shooter, fighting...)	4	simple, visually stunning	4	captivating	5	captured my attention while playing, on spot, perfect for the game	5	I was able to shape, at least partially, the main character's personality	fantasy world	the game was fast-paced and exciting, the game was addictive, the game was challenging at the right point, the game kept me focused and absorbed	No	not applicable	
4/13/2022 21:42:35	41	Male	more than 6 hours per week	No	No	4	3	1	1	1	1	1	2	1	1	5	1	1	5	3		Legend of Zelda: Breath of the Wild	adventure (eg. text or graphic adventures, visual novels...)	4	simple, Cartoon-like	5	Is not railroaded	4	pleasant, on spot, perfect for the game	4	I was able to shape, at least partially, the main character's personality	medieval towns, sea, ocean, desert, woods, forests, sky, fantasy world	the game kept me focused and absorbed, the game was slow-paced and relaxing, the game was addictive, the game was challenging at the right point	No	not applicable	
4/14/2022 2:44:47	48	Male	more than 6 hours per week	No	No	5	1	5	2	4	2	4	4	3	3	5	1	4	5	3	The feeling of immersion is very big, more than other media like cinema	Alfred Hitchcock - Vertigo	Interactive Drama	3	realistic	4	includes plot-twists, captivating, rich in subplots, complex	4	on spot, perfect for the game	4	I just enjoyed to live the story in the shoes of the character	woods, forests	the game kept me focused and absorbed	No	not applicable	
4/14/2022 2:51:52	48	Male	more than 6 hours per week	No	No	5	2	5	2	5	4	4	4	4	4	4	1	3	5	4		Twin Mirror	interactive Drama	4	realistic	5	rich in subplots, captivating	5	on spot, perfect for the game, captured my attention while playing, pleasant	5	I felt represented by the main character	provincial town	the game kept me focused and absorbed	No	not applicable	The game tackles very deep and delicate contents about morals and humanity
4/14/2022 2:59:20	48	Male	more than 6 hours per week	No	No	5	2	5	2	5	2	5	5	3	2	4	1	3	5	3		The Invisible Hours	Immersive interactive theater	4	realistic	5	complex, includes plot-twists, captivating, very clever	5	on spot, perfect for the game, chilling, captured my attention while playing		Not applicable	isolated island	the game kept me focused and absorbed	Yes	wonderful, immersive	the game introduces an innovative interactive narrative mechanics and a new kind of experience called immersive interactive theater
4/14/2022 8:05:14	24	Male	more than 6 hours per week	No	No	2	2	2	3	2	3	4	2	1	4	4	1	4	4	2		Call of duty	action (eg. platform, survival, stealth, shooter, fighting...)	4	realistic	2	simple and easy to follow	2	irrelevant, left me indifferent		Not applicable	modern city, desert, sea, ocean	the game was fast-paced and exciting, the game kept me focused and absorbed, the game was addictive	No	not applicable	
4/14/2022 9:38:52	20	Male	less than 1 hour per week	No	No	2	1	1	1	1	1	1	2	1	1	2	1	1	5	1		No Man's Sky	action-adventure (eg. metroidvania), Survival	4	visually stunning	4	complex	3	chilling	4	I felt like my choices could affect the course of the game, The character was customizable	sky	the game was challenging at the right point, the game was addictive, the game was challenging, sometimes too much	No	not applicable	
4/14/2022 13:38:32	25	Female	less than 1 hour per week	No	No	3	4	4	4	4	3	3	2	3	3	4	2	4	4	4		It takes two 	action-adventure (eg. metroidvania)	4	visually stunning, Playful	4	simple and easy to follow, captivating, includes plot-twists	3	Unobtrusive 	5	The character was simple, I identified myself with the main character, to a certain extent	fantasy world, woods, forests, a house	the game was fast-paced and exciting, the game was addictive, the game was challenging at the right point, the game kept me focused and absorbed	No	not applicable	
4/15/2022 11:40:52	23	Male	1-2 hours per week	No	No	4	4	2	1	1	2	2	4	5	3	5	1	2	4	1		Horizon Zero Dawn	simulation (eg. life simulation, vehicle simulation...), adventure (eg. text or graphic adventures, visual novels...), action (eg. platform, survival, stealth, shooter, fighting...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), action-adventure (eg. metroidvania)	5	visually stunning, realistic	4	rich in subplots, complex, confusing, captivating	3	captured my attention while playing, pleasant	4	The character was customizable, I felt like my choices could affect the course of the game, I was able to shape, at least partially, the main character's personality	post-apocalyptic world, woods, forests, fantasy world	the game was addictive, the game kept me focused and absorbed, the game was challenging at the right point	No	not applicable	
4/15/2022 12:36:03	21	Female	more than 6 hours per week	No	No	2	2	2	2	2	2	2	4	4	2	5	1	4	5	2		Horizon Zero Dawn	action-adventure (eg. metroidvania)	5	realistic, visually stunning	5	captivating, complex	5	pleasant, on spot, perfect for the game	5	I felt represented by the main character	post-apocalyptic world, woods, forests	the game was challenging at the right point, the game kept me focused and absorbed	No	not applicable	
